country_name,GDP Growth (% Annual),Inflation (CPI %),Unemployment Rate (%),Public Debt (% of GDP),Norm_GDP_Growth,Norm_Inflation,Norm_Unemployment,Norm_Debt,Investment Score
Czechia,-0.085330275927376,6.54828608079787,2.5425,,0.21041950558551847,0.9463738674348886,0.930247002744475,,
Denmark,2.49518433148894,2.33868930503262,5.3405000000000005,,0.23753345475811383,0.9649212397520885,0.8494149934999278,,
Djibouti,6.67664964361434,1.49506816515088,26.014499999999998,,0.281468892137193,0.9686382122341389,0.25215946843853815,,
Dominica,4.71223818531963,4.22769324983409,,,0.26082845387685893,0.9565983382156289,,,
Dominican Republic,2.36061568723294,4.04392309986181,5.513999999999999,,0.23611951686754887,0.9574080246473428,0.8444027155857288,,
Ecuador,2.35521790742197,1.8815063992621348,4.1415,,0.23606280138645108,0.9669355755714245,0.8840531561461794,,
"Egypt, Arab Rep.",3.75870055176806,33.8847763115546,7.266,,0.2508094557840095,0.8259300127943986,0.7937888198757764,,
Equatorial Guinea,-5.08930872071532,,8.095,,0.1578417690275428,,0.7698396648851654,,
Eritrea,,,5.5695,,,,0.8427993644373827,,
Eswatini,5.01490471257054,,34.742999999999995,,0.2640086276346598,,0.0,,
Ethiopia,6.49813464238613,30.2188278135278,3.4000000000000004,,0.2795932016621472,0.8420820851448965,0.9054745052722808,,
Faroe Islands,2.4890581166362,,,,0.23746908547391749,,,,
Fiji,7.52429088237292,2.14817440623896,4.314500000000001,,0.2903752170222542,0.9657606433691387,0.8790553228369203,,
Finland,-1.16396281522198,3.908166141931895,7.7055,,0.1990861119429135,0.9580061662218214,0.7810920121334681,,
French Polynesia,,,11.749500000000001,,,,0.6642640473783041,,
Gabon,2.44588083119469,2.40106766283297,20.1695,,0.23701541366771758,0.9646464023535712,0.4210169001877798,,
"Gambia, The",4.79750895186164,16.9742129632327,6.487500000000001,,0.2617244097545291,0.9004375086953345,0.8162790697674418,,
Germany,-0.266438410090913,4.101467410322915,3.237,,0.2085165685781708,0.9571544859338481,0.9101834464827386,,
Ghana,2.94478583082221,30.47764687271715,3.035,,0.24225750172371127,0.8409417351994556,0.9160190668785209,,
Gibraltar,,,,,,,,,
Greenland,,,,,,,,,
Grenada,3.56612861773655,2.69612269814564,,,0.24878606648933446,0.9633463976534741,,,
Guam,,,5.474500000000001,,,,0.8455438393759931,,
Guatemala,3.52679214166824,4.53788537247074,2.2815,,0.24837275078490872,0.9552316399081981,0.9377870865231835,,
Guinea,6.74493444630886,7.964057534382845,5.237,,0.28218637331873675,0.9401360157677464,0.852405026722519,,
Guinea-Bissau,5.19926829741253,,2.636,,0.26594577027059635,,0.9275458616206846,,
Guyana,33.8026170921817,2.86252780773007,11.094999999999999,,0.5664865008514204,0.9626132211315053,0.683172035244836,,
Haiti,-1.86388420254838,36.8135162780854,14.806999999999999,,0.19173190713963922,0.8130260617812674,0.5759352881698685,,
Honduras,3.58260362632656,5.63473139237282,6.0655,,0.24895917248309393,0.9503989652865142,0.8284703163368482,,
"Hong Kong SAR, China",3.27652625631858,1.9131631517750152,2.871,,0.24574316036309776,0.9667960967551658,0.9207568972988589,,
Hungary,-0.907685956140242,10.414334835788694,4.2705,,0.20177886078893217,0.9293401586321668,0.8803264480716453,,
India,8.1529363109041,5.3010893494079045,4.186999999999999,,0.29698051200791015,0.9518689833241485,0.8827386970966344,,
Indonesia,5.04810577067288,3.67013142377007,3.304,,0.2643574773560588,0.9590549409091226,0.9082478694207714,,
"Iran, Islamic Rep.",5.04489051061807,44.5791857572797,9.1165,,0.26432369401786254,0.7788107269653216,0.7403293369926331,,
Iraq,-2.93555773971221,4.35835351089586,15.485499999999998,,0.18047163303277475,0.956022652553067,0.5563339592662141,,
Ireland,-5.53000736095537,4.20643743498221,4.3285,,0.15321126606601748,0.9566919907749982,0.8786508738985989,,
Isle of Man,,,,,,,,,
Israel,2.42300691049012,3.6479391300626647,3.373,,0.2367750731086759,0.9591527195696189,0.9062545139390438,,
Italy,0.69763299419678,3.3022837225102135,7.2025,,0.21864624696847493,0.9606756681746342,0.7956232847031633,,
Jamaica,2.20006147154612,5.94304091321861,4.6425,,0.2344325437223215,0.9490405616728985,0.8695796619962445,,
Japan,1.67901952310368,3.0033352378420197,2.5815,,0.2289578586086405,0.9619928273098571,0.9291203235591508,,
Kenya,5.55587301319866,6.08059244136425,5.500500000000001,,0.2696926826541747,0.948434513269402,0.8447927199191101,,
